timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3644000,3644000,0,nan,nan,0.0014478593,-0.0016569572,-0.009607393,-1.320013e-08,4.7660436e-09,0.0,0.005901472,-0.0044175778,-0.029010003,-0.0226811,-3.3000324e-06,1.1915108e-06,0.0013278052,0.031438764,0.012253505,0.0025872139,0.00014738254,0.0,nan,0.10977946,0.010988756,5.773502,0.07444177,0.023006832,inf,inf,inf,inf,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
4148000,4148000,0,nan,nan,0.0022313835,-0.0004110715,-0.028688787,-1.320013e-08,4.7660436e-09,0.0,0.006380985,-0.00043692952,-0.016494295,-0.027666338,-3.3000324e-06,1.1915108e-06,0.0013278052,0.025359243,-0.011522053,-0.0099185845,9.995814e-05,0.0,nan,0.1,0.022220582,1.4937904,0.107812144,0.059506044,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1
4652000,4652000,4204000,47.3977508,8.5456073,0.0014245074,-0.00041697323,-0.042163905,-1.320013e-08,4.7660436e-09,0.0,0.0034825087,-0.00392829,-0.017242657,-0.029016618,-3.3000324e-06,1.1915108e-06,0.0013278052,0.01166028,-0.0014924371,0.0018868594,0.00037949558,0.0,488.05652,0.10427322,0.027270377,0.91988665,0.10640766,0.0858029,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5148000,5148000,4204000,47.3977508,8.5456073,0.00015779637,-0.0013933711,-0.042281333,-1.320013e-08,4.7660436e-09,0.0,0.0013065545,-0.004051512,-0.014892123,-0.015788285,-3.3000324e-06,1.1915108e-06,0.0013278052,0.0148620885,0.030149667,-0.029744579,0.00015075749,0.0,488.05652,0.108636186,0.015496758,0.7394114,0.06275269,0.089605026,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
5644000,5644000,4204000,47.3977508,8.5456073,-0.0003000495,0.000671989,-0.038052715,-1.320013e-08,4.7660436e-09,0.0,8.811212e-05,0.0027108553,-0.012087441,-0.004275903,-3.3000324e-06,1.1915108e-06,0.0013278052,-0.021510264,0.026163062,-0.031519677,0.00025720458,0.0,488.05652,0.10657113,0.018776558,0.6369742,0.063479304,0.093839355,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
6148000,6148000,4204000,47.3977508,8.5456073,-0.0004201643,0.0010535802,-0.034388047,-1.320013e-08,4.7660436e-09,0.0,-0.0003001884,0.001205611,-0.010108131,0.0014576811,-3.3000324e-06,1.1915108e-06,0.0013278052,-0.012271455,0.002720422,0.0069783996,0.00022548452,0.0,488.05652,0.10337776,0.012628418,0.5613801,0.045072626,0.085759416,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
6644000,6644000,4204000,47.3977508,8.5456073,-0.00185145,0.00073678343,-0.031049656,-1.320013e-08,4.7660436e-09,0.0,-0.0051763924,0.0023701282,-0.006476666,0.0057035005,-3.3000324e-06,1.1915108e-06,0.0013278052,-0.012388286,0.012996409,-0.023859551,0.00026955424,0.0,488.05652,0.10061984,0.015243245,0.51469135,0.04863498,0.08561275,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
7148000,7148000,4204000,47.3977508,8.5456073,-0.0018031698,0.0024146351,-0.02746401,-1.320013e-08,4.7660436e-09,0.0,-0.0026512293,0.008683761,-0.0007666417,0.010476031,-3.3000324e-06,1.1915108e-06,0.0013278052,0.006874826,-0.03983043,0.0014202668,2.4685398e-05,0.0,488.05652,0.10178124,0.018535053,0.4751152,0.052611854,0.08509891,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
7644000,7644000,4204000,47.3977508,8.5456073,-0.00013282135,0.0033153454,-0.022284899,-1.320013e-08,4.7660436e-09,0.0,0.0007300992,0.0062621846,0.0018638046,0.012136166,-3.3000324e-06,1.1915108e-06,0.0013278052,-0.01299355,0.0013164317,-0.008159316,-0.00023709603,0.0,488.05652,0.1,0.013265526,0.4467268,0.04196899,0.07789955,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
8148000,8148000,4204000,47.3977508,8.5456073,-4.5556946e-05,0.0015004862,-0.024508704,-1.320013e-08,4.7660436e-09,0.0,-0.002020609,0.0025498047,-3.8768754e-05,0.003786974,-3.3000324e-06,1.1915108e-06,0.0013278052,-0.015288556,-0.011580894,-0.023536382,-0.0003918138,0.0,488.05652,0.1,0.016167112,0.42517123,0.04625124,0.07808813,inf,inf,inf,inf,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1
