timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
3224000,-0.0013315832,-0.0047936896,-0.0015978967,4000,0,0.02212702,0.06257905,-10.012005,4000,0,0,1,1
3228000,-0.0037284258,-0.0053263213,-0.0018642168,4000,0,0.018535718,0.079338476,-9.996441,4000,0,0,1,1
3232000,-0.0042610588,-0.0050600055,-0.0018642143,4000,0,0.0041705077,0.09729497,-9.99285,4000,0,0,1,1
3236000,-0.0023968478,-0.003994741,1.5615377e-09,4000,0,0.01494442,0.10328049,-9.9713,4000,0,0,1,1
3240000,-0.0026631623,-0.0045273746,0.00079894846,4000,0,0.031703833,0.09011239,-9.973697,4000,0,0,1,1
3244000,-0.0039947415,-0.005858956,0.0005326313,4000,0,0.006564707,0.08891529,-9.986864,4000,0,0,1,1
3248000,-0.0037284256,-0.0053263227,0.00026631585,4000,0,-0.03054543,0.11285731,-9.979681,4000,0,0,1,1
3252000,-0.0021305282,-0.0031957948,-0.0005326322,4000,0,-0.032939628,0.116448596,-9.98806,4000,0,0,1,1
3260000,-0.0023968464,-0.0045273746,-1.0246743e-09,4000,0,0.006564737,0.078141354,-9.950951,4000,0,0,1,1
3264000,-0.0039947433,-0.0045273746,0.000798946,4000,0,-0.00899759,0.06018485,-9.9353895,4000,0,0,1,1
3268000,-0.002929478,-0.005592639,0.0010652675,4000,0,0.0005792082,0.09011239,-9.944966,4000,0,0,1,1
3272000,-0.0018642102,-0.0058589564,-0.00026631402,4000,0,0.011353136,0.12841962,-9.965317,4000,0,0,1,1
3276000,-0.0010652617,-0.003728427,-0.0015978968,4000,0,0.0017763079,0.11285731,-9.98447,4000,0,0,1,1
3280000,0.0013315817,-0.0029294791,-0.0021305264,4000,0,0.0017763079,0.079338476,-9.994047,4000,0,0,1,1
3284000,0.0005326324,-0.003195793,-0.0023968462,4000,0,-0.0054062908,0.074550085,-10.002428,4000,0,0,1,1
3288000,-0.003195797,-0.005060003,-0.0007989528,4000,0,-0.017377302,0.07694427,-10.001229,4000,0,0,1,1
3292000,-0.0042610625,-0.007989484,0.0010652657,4000,0,-0.012588903,0.07095878,-9.974894,4000,0,0,1,1
3296000,-0.0018642131,-0.007723167,0.0010652705,4000,0,-0.012588903,0.08652108,-9.961725,4000,0,0,1,1
3300000,0.00079895096,-0.005060006,-0.00026631102,4000,0,-0.013786003,0.1068718,-9.973698,4000,0,0,1,1
3304000,0.0015978963,-0.00479369,1.3348199e-09,4000,0,-0.011391804,0.116448596,-9.985667,4000,0,0,1,1
3308000,0.0018642126,-0.007456852,0.00026631507,4000,0,-0.011391804,0.12602542,-9.997637,4000,0,0,1,1
3312000,0.00079894933,-0.009853696,-4.309229e-09,4000,0,-0.017377302,0.118842795,-10.004821,4000,0,0,1,1
3316000,-0.0015979011,-0.008255801,0.0013315731,4000,0,-0.019771501,0.09490078,-9.9916525,4000,0,0,1,1
3320000,-0.0021305294,-0.0031957945,0.00053262804,4000,0,-0.0042092055,0.07694427,-9.972499,4000,0,0,1,1
3324000,-0.00026631495,-0.00213053,-0.0007989473,4000,0,-0.012588903,0.09250658,-9.9677105,4000,0,0,1,1
3328000,0.0010652624,-0.005858955,0.0007989496,4000,0,-0.023362787,0.117645696,-9.97609,4000,0,0,1,1
3332000,0.0010652641,-0.007456852,0.0013315801,4000,0,-0.00899759,0.10208339,-10.006018,4000,0,0,1,1
3336000,-0.0007989474,-0.0053263227,0.00053262827,4000,0,0.0029734075,0.098492086,-10.017988,4000,0,0,1,1
3340000,-0.0034621118,-0.002929478,0.0015978914,4000,0,0.01374732,0.14278485,-9.9832735,4000,0,0,1,1
3344000,-0.0021305287,-0.002929478,0.00079894974,4000,0,0.0077618216,0.15116452,-9.970104,4000,0,0,1,1
3348000,0.00026631902,-0.005060007,-0.0015978932,4000,0,-0.01019469,0.09729497,-9.985667,4000,0,0,1,1
3352000,-2.9551783e-09,-0.0063915877,-0.0002663168,4000,0,-0.00899759,0.07694427,-9.978483,4000,0,0,1,1
3356000,-0.0013315842,-0.0061252713,0.0013315778,4000,0,-0.012588903,0.09849207,-9.95574,4000,0,0,1,1
3360000,-0.001597894,-0.005326323,-0.00026631716,4000,0,-0.017377302,0.10088627,-9.94736,4000,0,0,1,1
3364000,-0.0005326288,-0.0037284272,-0.0021305282,4000,0,0.0017763079,0.12363121,-9.948557,4000,0,0,1,1
3368000,0.00026631495,-0.0026631614,-0.00053263153,4000,0,0.01973282,0.15116452,-9.950951,4000,0,0,1,1
3372000,0.0005326304,-0.0055926396,0.0010652646,4000,0,0.02212702,0.12722252,-9.961723,4000,0,0,1,1
