timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3448000,3448000,0.6989071,-0.0037767256,-0.0049484638,0.71518546,1.0,0.0,0.0,0.0,0
3452000,3452000,0.6989078,-0.0037542044,-0.0049299593,0.715185,1.0,0.0,0.0,0.0,0
3456000,3456000,0.6989062,-0.0037312107,-0.004911173,0.7151868,1.0,0.0,0.0,0.0,0
3460000,3460000,0.69890386,-0.003707452,-0.004893881,0.71518934,1.0,0.0,0.0,0.0,0
3464000,3464000,0.6989022,-0.0036808576,-0.004883822,0.7151912,1.0,0.0,0.0,0.0,0
3468000,3468000,0.69890124,-0.0036530804,-0.0048778965,0.7151923,1.0,0.0,0.0,0.0,0
3472000,3472000,0.69968414,-0.0036339036,-0.0048662643,0.7144265,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3476000,3476000,0.6997019,-0.0036091453,-0.004856662,0.7144093,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3480000,3480000,0.6997197,-0.0035828091,-0.0048441207,0.71439207,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3484000,3484000,0.6997383,-0.0035587354,-0.0048308526,0.71437407,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3492000,3492000,0.6997692,-0.0035107534,-0.0048101,0.7143442,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3496000,3496000,0.69978666,-0.0034891546,-0.004795121,0.71432734,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3500000,3500000,0.69980603,-0.0034671626,-0.004780524,0.7143086,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3504000,3504000,0.69982415,-0.003441319,-0.0047666947,0.7142911,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3508000,3508000,0.69983923,-0.0034166598,-0.0047494727,0.71427643,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3512000,3512000,0.6998528,-0.003396458,-0.004731587,0.7142633,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3516000,3516000,0.69986635,-0.0033750616,-0.004720093,0.71425027,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3520000,3520000,0.69987905,-0.0033498215,-0.0047093513,0.714238,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3524000,3524000,0.6998949,-0.0033234817,-0.004693717,0.7142227,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3528000,3528000,0.6999149,-0.0032979962,-0.004680798,0.7142034,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3532000,3532000,0.69993526,-0.0032740377,-0.0046656355,0.7141836,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3540000,3540000,0.69997185,-0.0032280704,-0.004626361,0.7141482,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3544000,3544000,0.6999925,-0.003207833,-0.004614683,0.7141282,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3548000,3548000,0.7000104,-0.0031883586,-0.0046037533,0.7141108,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3552000,3552000,0.700026,-0.0031709562,-0.0045928685,0.7140956,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3556000,3556000,0.7000439,-0.0031550683,-0.0045797494,0.7140782,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3560000,3560000,0.70006174,-0.0031382216,-0.0045666574,0.7140609,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3564000,3564000,0.70007837,-0.0031179667,-0.0045561627,0.7140447,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3568000,3568000,0.7000957,-0.0030971114,-0.0045475806,0.7140279,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3572000,3572000,0.7001142,-0.0030785229,-0.0045375195,0.71400994,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3580000,3580000,0.70014673,-0.0030442693,-0.004527631,0.7139782,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3584000,3584000,0.7001635,-0.003019934,-0.004527351,0.7139619,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3588000,3588000,0.7001817,-0.002994463,-0.004526689,0.71394414,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3596000,3596000,0.7002168,-0.002952966,-0.004523235,0.7139098,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3600000,3600000,0.7002326,-0.0029380554,-0.0045230812,0.7138944,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3604000,3604000,0.700248,-0.0029280472,-0.004522597,0.71387935,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3612000,3612000,0.70027405,-0.002902814,-0.004520462,0.7138539,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3620000,3620000,0.7003204,-0.0028793495,-0.004516688,0.71380854,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3624000,3624000,0.7003418,-0.0028611398,-0.004515193,0.7137877,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3628000,3628000,0.7003636,-0.0028433006,-0.0045140795,0.71376646,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3636000,3636000,0.7004039,-0.0028141262,-0.0045157224,0.71372694,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3640000,3640000,0.70042175,-0.0027971186,-0.00451648,0.7137094,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3644000,3644000,0.70044,-0.0027841912,-0.004523681,0.71369153,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3652000,3652000,0.7004749,-0.0027566222,-0.0045352634,0.7136574,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3656000,3656000,0.7004894,-0.0027450626,-0.0045384616,0.71364313,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3660000,3660000,0.7005046,-0.0027301193,-0.004540501,0.71362823,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3664000,3664000,0.7005205,-0.0027135687,-0.0045394925,0.7136127,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3668000,3668000,0.7005368,-0.002696981,-0.004542251,0.71359676,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3672000,3672000,0.7005522,-0.0026820728,-0.004549085,0.7135816,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3676000,3676000,0.7005699,-0.0026686706,-0.0045544356,0.7135642,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3680000,3680000,0.7005888,-0.0026580712,-0.004558171,0.71354574,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3684000,3684000,0.70060503,-0.0026478823,-0.004560017,0.71352977,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3688000,3688000,0.70062214,-0.0026359572,-0.0045638727,0.713513,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3692000,3692000,0.70063925,-0.0026255385,-0.0045677423,0.71349627,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3696000,3696000,0.7006583,-0.0026177953,-0.0045728968,0.71347755,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3700000,3700000,0.7006785,-0.0026092709,-0.0045803073,0.7134577,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3704000,3704000,0.7006973,-0.0026018855,-0.0045874375,0.7134392,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3708000,3708000,0.7007145,-0.002595623,-0.004596455,0.71342224,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3712000,3712000,0.7007285,-0.0025866893,-0.004606607,0.7134085,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3716000,3716000,0.70074165,-0.0025755144,-0.0046152296,0.7133956,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3724000,3724000,0.70076877,-0.0025567338,-0.004634752,0.71336895,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3732000,3732000,0.7007941,-0.0025513626,-0.004644486,0.713344,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3740000,3740000,0.7008204,-0.0025467973,-0.004650721,0.71331805,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3748000,3748000,0.70084655,-0.0025334791,-0.004662707,0.71329236,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3756000,3756000,0.70087117,-0.0025298046,-0.0046809036,0.71326804,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3760000,3760000,0.70087355,-0.0025257573,-0.0046891095,0.7132657,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3764000,3764000,0.7008759,-0.0025209696,-0.004695802,0.71326333,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3768000,3768000,0.70087636,-0.0025170126,-0.004704177,0.7132628,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3772000,3772000,0.70087653,-0.002513838,-0.0047095446,0.7132626,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3776000,3776000,0.7008735,-0.0025114892,-0.0047150576,0.7132656,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3780000,3780000,0.7008701,-0.00250985,-0.004725849,0.71326894,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3784000,3784000,0.70086956,-0.0025089744,-0.004736781,0.71326935,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3792000,3792000,0.7008653,-0.0024937033,-0.0047578644,0.71327347,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3796000,3796000,0.700859,-0.0024868052,-0.0047740974,0.7132796,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3800000,3800000,0.7008511,-0.0024848175,-0.004789318,0.71328723,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3804000,3804000,0.7008474,-0.002482475,-0.0047989013,0.7132908,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3812000,3812000,0.7008431,-0.0024630583,-0.004816189,0.713295,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3816000,3816000,0.70084214,-0.0024530734,-0.0048303413,0.7132959,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3820000,3820000,0.7008393,-0.0024532794,-0.0048434464,0.71329856,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3824000,3824000,0.70083433,-0.0024610232,-0.0048461454,0.71330345,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3832000,3832000,0.70082366,-0.0024562534,-0.00484453,0.713314,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3836000,3836000,0.70081866,-0.0024500606,-0.004848937,0.7133189,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3840000,3840000,0.7008146,-0.0024479332,-0.0048574903,0.7133228,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3844000,3844000,0.7008109,-0.002448469,-0.004862678,0.71332633,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
3848000,3848000,0.7008077,-0.0024456028,-0.004865149,0.7133295,0.9999995,2.3283067e-10,-4.6566134e-10,-0.0010709466,1
