timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3136000,0,1,0,1,0,1,1,0,1,1,1,1,0
3640000,0,1,0,1,0,1,1,0,1,1,1,1,0
3676000,0,1,0,1,0,1,1,0,1,1,1,1,0
4180000,0,1,0,1,0,1,1,0,1,1,1,1,0
4684000,0,1,0,1,0,1,1,0,1,1,1,1,0
5188000,0,1,0,1,0,1,1,0,1,1,1,1,0
5692000,0,1,0,1,0,1,1,0,1,1,1,1,0
6196000,0,1,0,1,0,1,1,0,1,1,1,1,0
6700000,0,1,0,1,0,1,1,0,1,1,1,1,0
7204000,0,1,0,1,0,1,1,0,1,1,1,1,0
7708000,0,1,0,1,0,1,1,0,1,1,1,1,0
8212000,0,1,0,1,0,1,1,0,1,1,1,1,0
8716000,0,1,0,1,0,1,1,0,1,1,1,1,0
9220000,0,1,0,1,0,1,1,0,1,1,1,1,0
9616000,0,1,0,1,0,1,1,0,1,1,1,1,0
10120000,0,1,0,1,0,1,1,0,1,1,1,1,0
10624000,0,1,0,1,0,1,1,0,1,1,1,1,0
11128000,0,1,0,1,0,1,1,0,1,1,1,1,0
11632000,0,1,0,1,0,1,1,0,1,1,1,1,0
12136000,0,1,0,1,0,1,1,0,1,1,1,1,0
12640000,0,1,0,1,0,1,1,0,1,1,1,1,0
13144000,0,1,0,1,0,1,1,0,1,1,1,1,0
13648000,0,1,0,1,0,1,1,0,1,1,1,1,0
14152000,0,1,0,1,0,1,1,0,1,1,1,1,0
14656000,0,1,0,1,0,1,1,0,1,1,1,1,0
15160000,0,1,0,1,0,1,1,0,1,1,1,1,0
15664000,0,1,0,1,0,1,1,0,1,1,1,1,0
16168000,0,1,0,1,0,1,1,0,1,1,1,1,0
16672000,0,1,0,1,0,1,1,0,1,1,1,1,0
17176000,0,1,0,1,0,1,1,0,1,1,1,1,0
17680000,0,1,0,1,0,1,1,0,1,1,1,1,0
18172000,0,1,0,1,0,1,1,0,1,1,1,1,0
18184000,0,1,0,1,0,1,1,0,1,1,1,1,0
18688000,0,1,0,1,0,1,1,0,1,1,1,1,0
19192000,0,1,0,1,0,1,1,0,1,1,1,1,0
19240000,1,1,0,1,0,1,1,0,1,1,1,1,0
19252000,1,1,0,1,0,1,1,0,1,1,1,1,0
19756000,1,1,0,1,0,1,1,0,1,1,1,1,0
20260000,1,1,0,1,0,1,1,0,1,1,1,1,0
20764000,1,1,0,1,0,1,1,0,1,1,1,1,0
21268000,1,1,0,1,0,1,1,0,1,1,1,1,0
21772000,1,1,0,1,0,1,1,0,1,1,1,1,0
22276000,1,1,0,1,0,1,1,0,1,1,1,1,0
22780000,1,1,0,1,0,1,1,0,1,1,1,1,0
23284000,1,1,0,1,0,1,1,0,1,1,1,1,0
23788000,1,1,0,1,0,1,1,0,1,1,1,1,0
24292000,1,1,0,1,0,1,1,0,1,1,1,1,0
24796000,1,1,0,1,0,1,1,0,1,1,1,1,0
25300000,1,1,0,1,0,1,1,0,1,1,1,1,0
25804000,1,1,0,1,0,1,1,0,1,1,1,1,0
26308000,1,1,0,1,0,1,1,0,1,1,1,1,0
26812000,1,1,0,1,0,1,1,0,1,1,1,1,0
27316000,1,1,0,1,0,1,1,0,1,1,1,1,0
