timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
8612000,8612000,47.39775080101639,8.545607395003293,488.10004,488.10303,0.016874805,1.7320508,1.4142135,nan,2,2,0,0
8620000,8620000,47.3977507996625,8.545607395123536,488.09967,488.10266,0.016874805,1.7320541,1.4142181,nan,2,2,0,0
8628000,8628000,47.39775079825776,8.5456073952449,488.09927,488.10226,0.016874805,1.7320641,1.4142319,nan,2,2,0,0
8636000,8636000,47.397750796804615,8.545607395368027,488.09857,488.10156,0.016874805,1.7320807,1.3873105,nan,2,2,0,0
8644000,8644000,47.397750795306905,8.54560739550163,488.09787,488.10086,0.016874805,1.7321041,1.3873411,nan,2,2,0,0
8652000,8652000,47.3977507937731,8.545607395641634,488.09714,488.10013,0.016874805,1.732134,1.3873811,nan,2,2,0,0
8660000,8660000,47.3977507922033,8.545607395775425,488.09644,488.09943,0.016874805,1.7321706,1.3874303,nan,2,2,0,0
8668000,8668000,47.397750790596774,8.545607395906133,488.0957,488.0987,0.016874805,1.7322139,1.387489,nan,2,2,0,0
8676000,8676000,47.397750788934545,8.545607396046824,488.095,488.098,0.016874805,1.7322638,1.387557,nan,2,2,0,0
8684000,8684000,47.397750787223345,8.545607396205135,488.09427,488.09726,0.016874805,1.7323204,1.3876343,nan,2,2,0,0
8692000,8692000,47.397750785480966,8.545607396368123,488.09354,488.09653,0.016874805,1.7323836,1.387721,nan,2,2,0,0
8700000,8700000,47.39775078375449,8.545607396525364,488.09283,488.09583,0.016874805,1.7324536,1.3641701,nan,2,2,0,0
8708000,8708000,47.39775078204831,8.545607396681497,488.09216,488.09515,0.016874805,1.73253,1.3642701,nan,2,2,0,0
8716000,8716000,47.39775078034535,8.54560739684175,488.09152,488.0945,0.016874805,1.7326132,1.3643795,nan,2,2,0,0
8724000,8724000,47.39775077862948,8.545607397013914,488.09085,488.09384,0.016874805,1.7327031,1.3644985,nan,2,2,0,0
8732000,8732000,47.39775077691346,8.545607397198319,488.0902,488.0932,0.016874805,1.7327996,1.364627,nan,2,2,0,0
8740000,8740000,47.39775077520314,8.545607397391294,488.08957,488.09256,0.016874805,1.7329028,1.3647649,nan,2,2,0,0
8748000,8748000,47.397750773495915,8.545607397575008,488.08893,488.09192,0.016874805,1.7330127,1.3649125,nan,2,2,0,0
8756000,8756000,47.39775077179889,8.545607397755646,488.0885,488.0915,0.016874805,1.7331291,1.3440893,nan,2,2,0,0
8764000,8764000,47.3977507701073,8.545607397961168,488.08807,488.09106,0.016874805,1.7332523,1.3442475,nan,2,2,0,0
8772000,8772000,47.39775076841036,8.545607398175196,488.08768,488.09067,0.016874805,1.7333821,1.3444154,nan,2,2,0,0
8780000,8780000,47.39775076671156,8.545607398399623,488.08725,488.09024,0.016874805,1.7335185,1.3445929,nan,2,2,0,0
8788000,8788000,47.39775076501904,8.545607398647599,488.08685,488.08984,0.016874805,1.7336617,1.34478,nan,2,2,0,0
8796000,8796000,47.39775076333634,8.545607398927125,488.08643,488.08942,0.016874805,1.7338114,1.3449767,nan,2,2,0,0
8804000,8804000,47.397750761647714,8.545607399216525,488.086,488.089,0.016874805,1.7339678,1.345183,nan,2,2,0,0
8812000,8812000,47.39775075994403,8.545607399513115,488.0856,488.0886,0.016874805,1.7341309,1.345399,nan,2,2,0,0
8820000,8820000,47.39775075823619,8.545607399817529,488.08505,488.08804,0.016874805,1.7343006,1.3267995,nan,2,2,0,0
8828000,8828000,47.39775075652236,8.545607400125911,488.0845,488.0875,0.016874805,1.7344769,1.3270235,nan,2,2,0,0
8836000,8836000,47.397750754804186,8.545607400432733,488.08395,488.08694,0.016874805,1.7346599,1.3272572,nan,2,2,0,0
8844000,8844000,47.39775075308527,8.545607400743652,488.0834,488.0864,0.016874805,1.7348496,1.3275007,nan,2,2,0,0
8852000,8852000,47.39775075137135,8.545607401043222,488.08286,488.08585,0.016874805,1.7350459,1.3277539,nan,2,2,0,0
8860000,8860000,47.39775074965366,8.545607401335396,488.08234,488.08533,0.016874805,1.7352488,1.3280169,nan,2,2,0,0
8868000,8868000,47.3977507479247,8.54560740162639,488.08182,488.0848,0.016874805,1.7354585,1.3282895,nan,2,2,0,0
8876000,8876000,47.39775074618446,8.54560740190953,488.08142,488.0844,0.016874805,1.7356746,1.3115416,nan,2,2,0,0
8884000,8884000,47.39775074443804,8.54560740220232,488.08105,488.08405,0.016874805,1.7358975,1.3118203,nan,2,2,0,0
8892000,8892000,47.397750742698705,8.54560740249246,488.0807,488.08368,0.016874805,1.7361271,1.3121089,nan,2,2,0,0
8900000,8900000,47.397750740974345,8.54560740277668,488.0803,488.08328,0.016874805,1.7363633,1.3124073,nan,2,2,0,0
8908000,8908000,47.39775073925453,8.54560740306005,488.07993,488.08292,0.016874805,1.7366061,1.3127154,nan,2,2,0,0
8916000,8916000,47.39775073753026,8.54560740334231,488.07956,488.08255,0.016874805,1.7368555,1.3130335,nan,2,2,0,0
8924000,8924000,47.397750735807136,8.545607403632607,488.0792,488.08218,0.016874805,1.7371116,1.3133612,nan,2,2,0,0
8932000,8932000,47.3977507340984,8.545607403957042,488.0788,488.0818,0.016874805,1.7373743,1.3136988,nan,2,2,0,0
8940000,8940000,47.39775073239631,8.545607404301789,488.0785,488.08148,0.016874805,1.7376437,1.2984749,nan,2,2,0,0
8948000,8948000,47.39775073067766,8.54560740464844,488.0782,488.08118,0.016874805,1.7379197,1.2988163,nan,2,2,0,0
8956000,8956000,47.39775072895842,8.545607405015112,488.07788,488.08087,0.016874805,1.7382022,1.2991678,nan,2,2,0,0
8964000,8964000,47.39775072724349,8.54560740538103,488.07755,488.08054,0.016874805,1.7384915,1.299529,nan,2,2,0,0
8972000,8972000,47.397750725530656,8.545607405749806,488.07724,488.08023,0.016874805,1.7387874,1.2998999,nan,2,2,0,0
8980000,8980000,47.39775072380632,8.545607406134469,488.0769,488.0799,0.016874805,1.7390898,1.3002809,nan,2,2,0,0
8988000,8988000,47.39775072207483,8.545607406537865,488.0766,488.0796,0.016874805,1.739399,1.3006717,nan,2,2,0,0
8996000,8996000,47.39775072034238,8.54560740695064,488.07626,488.07925,0.016874805,1.7397146,1.2867497,nan,2,2,0,0
9004000,9004000,47.3977507186025,8.54560740736318,488.07593,488.07892,0.016874805,1.740037,1.2871428,nan,2,2,0,0
9012000,9012000,47.39775071938563,8.545607407491751,488.07608,488.08017,0.016874805,1.4167633,1.1802034,nan,2,2,0,0
9020000,9020000,47.39775072015669,8.545607407620967,488.0762,488.0803,0.016874805,1.416867,1.1803415,nan,2,2,0,0
9028000,9028000,47.39775072090497,8.545607407749428,488.07635,488.08044,0.016874805,1.4169749,1.1804848,nan,2,2,0,0
9036000,9036000,47.39775072163034,8.545607407875412,488.0765,488.0806,0.016874805,1.4170866,1.1806337,nan,2,2,0,0
9044000,9044000,47.397750722345066,8.545607407998032,488.07663,488.08072,0.016874805,1.4172025,1.1807879,nan,2,2,0,0
