timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3388000,3388000,1310988,1310988,1.0652626e-06,-2.4501081e-05,3.195815e-06,-7.429761e-05,0.0003317191,-0.039861266,4000,4000,0,0,1,1
3888000,3888000,1310988,1310988,-6.391608e-06,-1.278318e-05,1.3848426e-05,5.498928e-05,0.0004226988,-0.039933097,4000,4000,0,0,1,1
4388000,4388000,1310988,1310988,-1.9174762e-05,-1.5978965e-05,-3.1957998e-06,5.977768e-05,0.0004274872,-0.039880417,4000,4000,0,0,1,1
4888000,4888000,1310988,1310988,-4.2610627e-06,-2.0240026e-05,3.1957748e-06,2.1470429e-05,0.0003173539,-0.039971404,4000,4000,0,0,1,1
5388000,5388000,1310988,1310988,1.0652653e-05,-1.7044233e-05,-8.52211e-06,-0.00024189176,0.00044185237,-0.039928302,4000,4000,0,0,1,1
5888000,5888000,1310988,1310988,-3.1957877e-06,-2.556635e-05,-2.1305443e-06,-4.077876e-05,0.00039396834,-0.040033646,4000,4000,0,0,1,1
6388000,6388000,1310988,1310988,1.0652674e-06,-1.2783176e-05,-2.1305227e-06,1.668203e-05,0.0002982003,-0.039870843,4000,4000,0,0,1,1
6888000,6888000,1310988,1310988,4.2610536e-06,-2.5566362e-05,1.27831545e-05,-0.00014133532,0.00036523797,-0.040129416,4000,4000,0,0,1,1
7388000,7388000,1310988,1310988,-1.17179e-05,-2.9827414e-05,-2.130508e-06,-0.0001509121,0.0002407394,-0.040201247,4000,4000,0,0,1,1
7888000,7888000,1310988,1310988,-7.456842e-06,-2.0240026e-05,2.1305405e-06,5.977768e-05,0.00033650748,-0.04006238,4000,4000,0,0,1,1
8388000,8388000,1310988,1310988,-1.0652549e-06,-2.6631613e-05,-3.195785e-06,5.977768e-05,0.00026946978,-0.039913934,4000,4000,0,0,1,1
8888000,8888000,1310988,1310988,-1.0652665e-06,-3.0892672e-05,-3.1957782e-06,-5.0355615e-05,0.00027425823,-0.039870843,4000,4000,0,0,1,1
9388000,9388000,1310988,1310988,-3.1957788e-06,-3.515374e-05,-3.1957532e-06,0.00014118053,0.00041312198,-0.03995703,4000,4000,0,0,1,1
9888000,9888000,1310988,1310988,-9.587377e-06,-1.7044236e-05,-1.0652641e-06,-0.00013654692,0.0003269307,-0.039832536,4000,4000,0,0,1,1
