timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.036899153,0.0017311372,1.2940776e-11,-0.21097705,0.19527127,-9.916975,-0.0015552861,-0.00551807,-0.00074568525,0.0002681333,0.00050542736,0.00047764438,2.8350796e-06,4.5363167e-06,2.8606125e-06,11.832729,11.832729
4816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02506197,0.0021723302,1.4108549e-11,-0.22275652,0.18875904,-9.929617,-0.00031957935,-0.0047723847,0.0003621898,0.0007630898,0.0003356586,0.00041839294,4.7519266e-06,5.590724e-06,5.1472107e-06,11.832729,11.832729
5816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.022632606,0.001988856,1.2790572e-11,-0.20312408,0.18330026,-9.940343,-0.0018748655,-0.0052197957,-0.00014913712,0.00028454646,0.00025942037,0.00023582186,2.390621e-06,3.2625164e-06,3.4403001e-06,11.832729,11.832729
6816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024010014,0.00222523,1.34721e-11,-0.20733787,0.17851186,-9.926265,-0.00012783174,-0.0047723847,-0.0002769688,0.00056796556,0.0005073381,0.00034128941,3.3400606e-06,2.2809247e-06,4.991178e-06,11.832729,11.832729
7816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024239954,0.0021661595,1.12922e-11,-0.21404164,0.18904635,-9.943215,-0.0002130529,-0.004942827,-0.0006391587,0.00029329763,0.0006718523,0.00022043887,3.0497438e-06,3.4403e-06,2.340501e-06,11.832729,11.832729
8816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023115998,0.0020023715,1.2563088e-11,-0.19067423,0.18397065,-9.94063,-0.0012144014,-0.004878911,-0.0002556636,0.0003668036,0.00028215811,0.0003752104,1.6199104e-06,2.9239716e-06,3.950955e-06,11.832729,11.832729
9816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.02479257,0.0021039054,1.4239508e-11,-0.18952501,0.17305309,-9.929425,-0.0009800433,-0.00551807,-0.00074568525,0.000410655,0.0005663033,0.0004903453,2.8766888e-06,4.087129e-06,3.782628e-06,11.832729,11.832729
10816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024111459,0.0021354826,1.0342479e-11,-0.1889504,0.16232705,-9.923775,0.00014913702,-0.0040053944,0.0004900216,0.00024358032,0.00058802846,0.00021491414,3.2984515e-06,4.400142e-06,3.0478527e-06,11.832729,11.832729
11816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023367658,0.0021773647,9.8606436e-12,-0.19498378,0.16836044,-9.932681,-0.0010652645,-0.0040267,-0.00078829576,0.00046816806,0.00036959315,0.00017095328,3.5934963e-06,6.8579043e-06,1.4686054e-06,11.832729,11.832729
12816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024248475,0.0022636035,1.670341e-11,-0.19536686,0.16328473,-9.924732,-0.0009800433,-0.005241101,0.00017044223,0.00036829404,0.0007375432,0.00042118804,5.169907e-06,4.697078e-06,5.643681e-06,11.832729,11.832729
13816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023819422,0.0021895638,1.2337439e-11,-0.20178331,0.1652001,-9.934501,-0.0016618125,-0.004921522,-0.0005965482,0.0004005471,0.00039408886,0.0005474213,3.6247034e-06,2.749025e-06,3.8611174e-06,11.832729,11.832729
14816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.024537055,0.0021039972,1.3159578e-11,-0.18291701,0.16213551,-9.935363,-0.0012570121,-0.0051345746,6.3915795e-05,0.00035874028,0.00023956782,0.0005580679,5.0327862e-06,4.6308824e-06,3.7429104e-06,11.832729,11.832729
15816000,1310988,1310988,0,0,0,0,0,0,0,0,250.0,250.0,250.0,250.0,0.023486832,0.0021869084,1.179971e-11,-0.16692375,0.15198411,-9.93881,-0.0005752428,-0.005113269,-0.00025566356,0.00067760365,0.0003979677,0.00030093876,2.409534e-06,3.0497436e-06,2.7452422e-06,11.832729,11.832729
